"","Gene","HV","meth","value"
"108","AT3G44630","hv","CHG",0.319706875000667
"109","AT3G44670","hv","CHH",0.320286297953292
"110","AT3G44670","hv","CHG",0.300630105138935
"111","AT3G46530","hv","CHH",0.199926555683144
"112","AT3G46530","hv","CHG",0.226542443750173
"113","AT3G46710","non-hv","CHH",0.357244871030946
"114","AT3G46710","non-hv","CHG",0.507180745980542
"115","AT3G46730","non-hv","CHH",0.306720315322339
"116","AT3G46730","non-hv","CHG",0.299141445554022
"117","AT3G50950","non-hv","CHH",0.30005342681818
"118","AT3G50950","non-hv","CHG",0.289322231456715
"119","AT3G51560","non-hv","CHH",0.322303245467848
"120","AT3G51560","non-hv","CHG",0.473845565184721
"121","AT3G51570","non-hv","CHH",0.27286235666352
"122","AT3G51570","non-hv","CHG",0.22622435776258
"123","AT4G08450","non-hv","CHH",0.342559692172586
"124","AT4G08450","non-hv","CHG",0.678181934316021
"125","AT4G09430","non-hv","CHH",0.69097267968912
"126","AT4G09430","non-hv","CHG",0.325231553884305
"127","AT4G10780","non-hv","CHH",0.261626573281561
"128","AT4G10780","non-hv","CHG",0.132797910830999
"129","AT4G11170","hv","CHH",0.659612557335399
"130","AT4G11170","hv","CHG",0.772314051981773
"131","AT4G12010","non-hv","CHH",0.211888514363958
"132","AT4G12010","non-hv","CHG",0.325826367175089
"133","AT4G14370","non-hv","CHH",0.296028299809677
"134","AT4G14370","non-hv","CHG",0.130019399063973
"135","AT4G16860","hv","CHH",4.36413944215665
"136","AT4G16860","hv","CHG",41.2075780582326
"137","AT4G16890","hv","CHH",0.317613425460723
"138","AT4G16890","hv","CHG",1.66933032011905
"139","AT4G16900","non-hv","CHH",1.47198203901687
"140","AT4G16900","non-hv","CHG",8.95503087598676
"141","AT4G16920","hv","CHH",1.64366083638021
"142","AT4G16920","hv","CHG",9.28476023127976
"143","AT4G16940","hv","CHH",0.312259385423003
"144","AT4G16940","hv","CHG",0.292927700714586
"145","AT4G16950","hv","CHH",0.382894088131507
"146","AT4G16950","hv","CHG",3.14510363666386
"147","AT4G16960","hv","CHH",0.333866128771132
"148","AT4G16960","hv","CHG",0.395381983916467
"149","AT4G19050","non-hv","CHH",0.308352141849125
"150","AT4G19050","non-hv","CHG",0.491522171464633
"151","AT4G19510","non-hv","CHH",0.269205057979845
"152","AT4G19510","non-hv","CHG",0.302198128741798
"153","AT4G19530","non-hv","CHH",0.316802531798491
"154","AT4G19530","non-hv","CHG",0.124089872664041
"155","AT4G26090","non-hv","CHH",NA
"156","AT4G26090","non-hv","CHG",NA
"157","AT4G27190","non-hv","CHH",0.32854878175217
"158","AT4G27190","non-hv","CHG",0.561444940361928
"159","AT4G27220","non-hv","CHH",0.314589892497902
"160","AT4G27220","non-hv","CHG",0.141744031830239
"161","AT4G33300","non-hv","CHH",0.333451700585442
"162","AT4G33300","non-hv","CHG",0.241944360978767
"163","AT4G36150","non-hv","CHH",0.304457645101969
"164","AT4G36150","non-hv","CHG",0.172443777944245
"165","AT5G04720","non-hv","CHH",0.257867021095716
"166","AT5G04720","non-hv","CHG",0.274889802105616
"167","AT5G05400","non-hv","CHH",0.389575632644879
"168","AT5G05400","non-hv","CHG",0.746477355678155
"169","AT5G11250","non-hv","CHH",0.265635948634564
"170","AT5G11250","non-hv","CHG",0.343504675401227
"171","AT5G17680","non-hv","CHH",0.241436419862035
"172","AT5G17680","non-hv","CHG",0.376850257012374
"173","AT5G17880","non-hv","CHH",0.29241076922679
"174","AT5G17880","non-hv","CHG",0.406101433863029
